Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
Wish-Ender,814876684,"""6917529198149590277""",keep,Exotic,Combat Bow,dungeon,KineticSlot,Kinetic,1810,,,,Warlock(1816),true,false,2,4,,60,51,92,0,18,0,0,85,0,30,0,40,0,820,85,0,0,0,0,0,0,19,false,0,1809,,"weapons, Nez Strand Graviton, Mactics' Invincible Omni Hunter 5.0, Mactics' Strand Osteo Warlock, #a-cowl #12punch #, #suspend # #, #GM #Arms-dealer #",keep,Queen's Wrath*,High Tension String*,Anti-Taken Fletching*,Broadhead*,Author of Devastation*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Izanagi's Burden,3211806999,"""6917529199440558119""",keep,Exotic,Sniper Rifle,ada,KineticSlot,Kinetic,1600,,,10,Vault,true,false,2,5,,83,62,70,58,45,0,0,56,90,40,4,47,0,0,0,0,0,0,0,0,0,6,false,0,0,,,keep,Honed Edge*,Chambered Compensator*,Accurized Rounds*,No Distractions*,Composite Stock*,Kill Tracker*,Crucible Tracker,Izanagi's Burden Catalyst*,,,,,,,,,,,
SUROS Regime,2856683562,"""6917529199493504654""",keep,Exotic,Auto Rifle,,KineticSlot,Kinetic,1600,,Recoil Direction,10,Vault,true,false,1,3,,100,68,21,55,16,0,0,58,600,73,27,64,0,0,0,0,0,0,0,0,0,31,false,0,376,suros,,keep,SUROS Legacy*,Hammer-Forged Rifling*,Tactical Mag*,Spinning Up*,Dual Speed Receiver,Hand-Laid Stock*,SUROS Chrome*,SUROS Regime Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Tractor Cannon,3580904581,"""6917529200264682876""",keep,Exotic,Shotgun,,Power,Void,1600,,"Magazine, Inventory Size",10,Vault,true,false,1,1,,70,90,65,20,12,0,0,95,80,15,7,35,0,0,0,0,0,0,0,0,0,8,false,0,0,,,keep,Repulsor Force*,Extended Barrel*,Particle Repeater*,The Scientific Method*,Composite Stock*,Machinist's Trove*,Tractor Cannon Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Prometheus Lens,19024058,"""6917529200853669604""",keep,Exotic,Trace Rifle,,Energy,Solar,1600,,"Stability, Handling",10,Vault,true,false,1,2,,100,100,6,70,16,0,0,80,1000,40,100,55,0,0,0,0,0,0,0,0,0,16,false,0,120,,,keep,Prismatic Inferno*,Chambered Compensator*,Projection Fuse*,Flame Refraction*,Composite Stock*,Haetae's Judgment*,Prometheus Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Arsenic Bite-4b,720351795,"""6917529202672098930""",keep,Legendary,Combat Bow,legendaryengram,Energy,Arc,1800,,Reload Speed,10,Vault,true,false,3,11,,51,81,68,0,18,0,0,53,0,70,0,70,0,540,42,0,0,0,0,0,0,10,false,0,535,veist,,,Lightweight Frame*,Agile Bowstring,Flexible String*,Fiberglass Arrow Shaft*,Straight Fletching,Dragonfly*,Explosive Head*,Masterworked: Reload Speed*,Wrath Majestic*,Kill Tracker*,Crucible Tracker,,,,,,,,
Traveler's Chosen,1853180924,"""6917529202895078821""",keep,Exotic,Sidearm,,KineticSlot,Kinetic,1600,,Magazine,10,Vault,true,false,3,11,,85,85,49,85,12,0,0,70,300,40,18,84,0,0,0,0,0,0,0,0,0,35,false,0,24,,,keep,Gathering Light*,QuickDot SAS*,Armor-Piercing Rounds*,Gift of the Traveler*,Short-Action Stock*,Kill Tracker*,Crucible Tracker,Traveler's Chosen Catalyst*,,,,,,,,,,,
Cerberus+1,1541131350,"""6917529206144940562""",keep,Exotic,Auto Rifle,,KineticSlot,Kinetic,1600,,,10,Vault,true,false,2,4,,86,60,33,25,16,0,0,20,360,35,31,27,0,0,0,0,0,0,0,0,0,16,false,0,261,,,keep,Four-Headed Dog*,Rifled Barrel*,Fluted Barrel*,Full Bore*,Spread Shot Package*,Four-Headed Mongrel*,Kill Tracker*,Crucible Tracker,Cerberus+1 Catalyst*,,,,,,,,,,
Gnawing Hunger,821154603,"""6917529206689104995""",keep,Legendary,Auto Rifle,gambitprime,Energy,Void,1810,,Reload Speed,10,Vault,true,false,3,11,,54,65,21,53,16,0,0,53,600,77,46,68,0,0,0,0,0,0,0,0,0,10,false,0,14649,,,,Adaptive Frame*,Corkscrew Rifling*,Extended Barrel,Drop Mag,Tactical Mag*,Subsistence*,Kill Clip,Demolitionist*,Royal Treatment*,Taken Spec*,Masterworked: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,
No Time to Explain,1594120904,"""6917529207740158007""",keep,Exotic,Pulse Rifle,deluxe,KineticSlot,Kinetic,1600,,,10,Hunter(1814),true,false,4,12,,73,40,33,70,17,0,0,60,340,60,24,57,0,0,0,0,0,0,0,0,0,24,false,0,805,,,,Rewind Again*,Fluted Barrel*,Accurized Rounds*,Time-Slip*,Feeding Frenzy*,Frozen In Time*,Kill Tracker*,Crucible Tracker,No Time to Explain Catalyst*,,,,,,,,,,
Salvation's Grip,370712896,"""6917529208263129697""",keep,Exotic,Grenade Launcher,europa,Power,Stasis,1600,,,,Vault,true,false,4,12,,63,68,0,0,13,55,37,36,120,55,8,57,0,0,0,0,0,0,0,0,0,19,false,0,0,,,,Cryocannon*,Linear Compensator*,Alloy Casing*,Shatter Shot*,Polymer Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Accrued Redemption,4095896073,"""6917529208629358572""",keep,Legendary,Combat Bow,garden,KineticSlot,Kinetic,1600,,Draw Time,10,Vault,true,false,3,8,,77,70,76,0,18,0,0,43,0,40,0,65,0,612,76,0,0,0,0,0,0,10,false,0,2034,,,,Precision Frame*,Flexible String*,High Tension String,Natural Fletching,Straight Fletching*,Archer's Tempo*,Explosive Head*,Masterworked: Draw Time*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Leviathan's Breath,2591746970,"""6917529209402483024""",keep,Exotic,Combat Bow,,Power,Void,1600,,Inventory Size,10,Vault,true,false,3,8,,75,66,60,0,20,0,0,5,0,0,0,0,0,1328,84,0,0,0,0,0,0,17,false,0,53,,,,Big-Game Hunter*,Chain Bowstring*,Fiberglass Arrow Shaft*,Leviathan's Sigh*,Kill Tracker*,Crucible Tracker,Leviathan's Breath Catalyst*,,,,,,,,,,,,
The Lament,3487253372,"""6917529210991557974""",keep,Exotic,Sword,europa,Power,Solar,1810,,,,Vault,true,false,4,12,,0,0,78,0,0,0,0,0,0,0,58,0,0,0,0,20,50,0,90,40,0,0,false,0,199,,"Mactics' Fallen Sunstar Warlock, Nez Strand Graviton",,Banshee's Wail*,Jagged Edge*,Enduring Guard*,Tireless Blade*,Revved Consumption*,Lethe's Mercy*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Cloudstrike,2603483885,"""6917529211435475267""",keep,Exotic,Sniper Rifle,europa,Energy,Arc,1600,,Handling,10,Vault,true,false,4,12,,68,68,55,60,50,0,0,64,140,40,7,86,0,0,0,0,0,0,0,0,0,7,false,0,411,,,,Mortal Polarity*,Fluted Barrel*,Alloy Magazine*,Stormbringer*,Hand-Laid Stock*,Kill Tracker*,Crucible Tracker,Cloudstrike Catalyst*,,,,,,,,,,,
Subzero Salvo,42351395,"""6917529219152997179""",keep,Legendary,Rocket Launcher,europa,Power,Arc,1600,,Handling,2,Vault,true,false,4,12,,94,61,0,0,20,30,53,59,15,23,1,53,0,0,0,0,0,0,0,0,0,3,false,0,0,,,,Precision Frame*,Volatile Launch,Smart Drift Control*,Implosion Rounds,Impact Casing*,Surplus*,Cluster Bomb*,Tier 2: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Duality,3460576091,"""6917529222307362321""",keep,Exotic,Shotgun,,Energy,Solar,1600,,,,Vault,true,false,4,12,,78,65,80,75,12,0,0,50,65,1,6,80,0,0,0,0,0,0,0,0,0,6,false,0,0,,,,Compression Chamber*,Corkscrew Rifling*,Alloy Magazine*,On Black Wings*,Short-Action Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Black Talon,3766045777,"""6917529239560002912""",keep,Exotic,Sword,,Power,Void,1600,,,10,Vault,true,false,2,4,,0,0,61,0,0,0,0,0,0,0,62,0,0,0,0,65,70,0,60,40,0,0,false,0,121,,,,Crow's Wings*,Tempered Edge*,Heavy Guard*,Tireless Blade*,Kill Tracker*,Crucible Tracker,Black Talon Catalyst*,,,,,,,,,,,,
Reckless Oracle,3385326721,"""6917529239923903854""",keep,Legendary,Auto Rifle,garden,Energy,Void,1800,,Handling,2,Vault,true,false,3,8,,59,80,18,41,16,0,0,56,720,65,51,44,0,0,0,0,0,0,0,0,0,10,false,0,0,,#1 NEW gryfalcon's #invisible #volatile #,,Rapid-Fire Frame*,Hammer-Forged Rifling*,Smallbore,Armor-Piercing Rounds,Light Mag*,Outlaw*,Kill Clip*,Targeting Adjuster*,Tier 2: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Seventh Seraph SAW,2582755344,"""6917529241137466425""",keep,Legendary,Machine Gun,rasputin,Power,Arc,1800,,Stability,2,Titan(1813),true,true,3,10,,41,30,70,62,16,0,0,29,360,31,51,43,0,0,0,0,0,0,0,0,0,6,false,0,13,,Mactics' Fallen Sunstar Warlock,,High-Impact Frame*,Fluted Barrel*,Polygonal Rifling,Appended Mag*,High-Caliber Rounds,Clown Cartridge*,Vorpal Weapon*,Tier 2: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Succession,2990047042,"""6917529250832289845""",keep,Legendary,Sniper Rifle,deepstonecrypt,KineticSlot,Kinetic,1800,,Handling,10,Vault,true,false,4,12,,80,48,90,86,50,0,0,28,72,45,3,40,0,0,0,0,0,0,0,0,0,4,false,0,1662,,,,Aggressive Frame*,Hammer-Forged Rifling*,Smallbore,Tactical Mag*,Alloy Magazine,Reconstruction*,Vorpal Weapon*,Masterworked: Handling*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Hawkmoon,3856705927,"""6917529252587590671""",keep,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,Magazine,10,Vault,true,false,4,12,,96,93,84,52,14,0,0,68,140,59,9,96,0,0,0,0,0,0,0,0,0,26,false,0,0,,,,Paracausal Shot*,Fluted Barrel*,Alloy Magazine*,Killing Wind*,Polymer Grip*,Kill Tracker*,Crucible Tracker,Hawkmoon Catalyst*,,,,,,,,,,,
Trustee,1392919471,"""6917529255671730442""",keep,Legendary,Scout Rifle,deepstonecrypt,Energy,Solar,1600,,Range,10,Vault,true,false,4,12,,89,67,45,45,19,0,0,48,260,41,18,40,0,0,0,0,0,0,0,0,0,22,false,0,737,,,,Rapid-Fire Frame*,Arrowhead Brake*,Corkscrew Rifling,Tactical Mag*,Flared Magwell,Surplus*,Wellspring*,Descendant Vex Chrome*,Masterworked: Range*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Seventh Seraph VY-7,766323545,"""6917529262091844159""",keep,Legendary,Submachine Gun,seasonpass,Energy,Arc,1600,,Handling,10,Vault,true,false,3,10,,91,57,25,61,14,0,0,54,600,34,27,30,0,0,0,0,0,0,0,0,0,12,false,0,261,,,,Precision Frame*,Full Bore,Smallbore*,Appended Mag,Flared Magwell*,Ambitious Assassin*,Vorpal Weapon*,Bloodmane*,Masterworked: Handling*,Tyrant's Lash*,Kill Tracker*,Crucible Tracker,,,,,,,
Graviton Lance,3628991658,"""6917529265744159685""",keep,Exotic,Pulse Rifle,,Energy,Void,1810,,Range,10,Vault,true,false,1,1,,85,60,29,90,17,0,0,100,300,57,31,49,0,0,0,0,0,0,0,0,0,27,false,0,3600,,Nez Strand Graviton,,Black Hole*,Hammer-Forged Rifling*,Accurized Rounds*,Cosmology*,Fitted Stock*,Carina Nebula*,Graviton Lance Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Salvager's Salvo,2060863616,"""6917529272561552118""",keep,Legendary,Grenade Launcher,banshee,Energy,Arc,1600,,Handling,10,Vault,true,false,4,13,,75,70,0,0,13,100,80,36,90,70,1,95,0,0,0,0,0,0,0,0,0,2,false,0,2059,,,,Lightweight Frame*,Quick Launch*,Spike Grenades*,Ambitious Assassin*,Demolitionist,Vorpal Weapon,Chain Reaction*,Masterworked: Handling*,Pyretic*,Kill Tracker*,Crucible Tracker,,,,,,,,
The Messenger,3658188704,"""6917529273145720661""",keep,Legendary,Pulse Rifle,trials,KineticSlot,Kinetic,1600,,Range,10,Vault,true,false,4,13,,70,37,33,81,18,0,0,74,340,38,31,26,0,0,0,0,0,0,0,0,0,20,false,0,3,,,,High-Impact Frame*,Chambered Compensator*,Polygonal Rifling,Ricochet Rounds*,Flared Magwell,Moving Target*,Headseeker*,Masterworked: Range*,Kill Tracker,Crucible Tracker*,,,,,,,,,
High Albedo,1197486957,"""6917529277859273278""",keep,Legendary,Sidearm,europa,KineticSlot,Kinetic,1600,,Reload Speed,2,Vault,true,false,4,12,,99,71,80,36,12,0,0,79,491,42,30,56,0,0,0,0,0,0,0,0,0,12,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Tactical Mag*,Flared Magwell,Ambitious Assassin*,Headseeker*,Tier 2: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,,,
